INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 1, 1, '2020-11-22 21:55:00', '2020-11-22 22:01:08', 10.29);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 2, 2, '2020-07-05 23:08:00', '2020-07-05 23:14:58', 13.55);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 3, 3, '2020-09-27 10:11:00', '2020-09-27 10:16:59', 14.09);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 4, 4, '2019-04-14 06:05:00', '2019-04-14 06:19:39', 3.45);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 5, 5, '2020-12-05 22:37:00', '2020-12-05 22:48:59', 4.5600000000000005);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 6, 6, '2020-05-28 23:56:00', '2020-05-29 00:09:29', 3.57);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 7, 7, '2019-08-02 19:15:00', '2019-08-02 19:21:21', 9.62);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 8, 8, '2020-02-02 17:38:00', '2020-02-02 17:44:12', 4.6);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 9, 9, '2019-05-11 18:59:00', '2019-05-11 19:13:28', 8.67);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 10, 10, '2020-11-05 22:16:00', '2020-11-05 22:29:05', 13.79);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 11, 11, '2019-08-13 23:00:00', '2019-08-13 23:12:35', 11.23);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 12, 12, '2020-11-13 07:49:00', '2020-11-13 07:55:05', 15.95);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 13, 13, '2020-06-08 06:12:00', '2020-06-08 06:16:02', 14.36);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 14, 14, '2019-09-15 21:34:00', '2019-09-15 21:48:57', 5.43);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 15, 15, '2019-07-08 18:37:00', '2019-07-08 18:43:46', 10.65);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 16, 16, '2020-02-02 20:31:00', '2020-02-02 20:42:19', 2.33);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 17, 17, '2020-07-18 09:35:00', '2020-07-18 09:39:21', 1.05);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 18, 18, '2020-12-20 13:12:00', '2020-12-20 13:19:15', 12.25);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 19, 19, '2019-09-22 22:07:00', '2019-09-22 22:20:58', 8.13);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 20, 20, '2020-12-03 15:49:00', '2020-12-03 15:53:08', 15.76);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 21, 21, '2019-03-08 14:31:00', '2019-03-08 14:39:20', 15.98);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 22, 22, '2020-09-05 12:19:00', '2020-09-05 12:23:16', 10.22);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 23, 23, '2020-04-14 15:45:00', '2020-04-14 15:56:23', 13.23);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 24, 24, '2020-09-10 06:45:00', '2020-09-10 06:57:26', 2.96);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 25, 25, '2020-03-24 07:19:00', '2020-03-24 07:24:23', 14.15);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 26, 26, '2019-12-08 22:49:00', '2019-12-08 23:03:12', 8.23);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 27, 27, '2019-10-07 13:22:00', '2019-10-07 13:28:04', 14.62);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 28, 28, '2019-04-03 09:44:00', '2019-04-03 09:55:51', 1.8399999999999999);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 29, 29, '2019-10-07 15:06:00', '2019-10-07 15:17:52', 14.08);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 30, 30, '2019-02-16 21:56:00', '2019-02-16 22:07:36', 8.36);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 31, 31, '2020-10-28 10:13:00', '2020-10-28 10:17:17', 1.3);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 32, 32, '2020-03-25 13:23:00', '2020-03-25 13:33:29', 13.35);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 33, 33, '2020-08-20 21:07:00', '2020-08-20 21:12:57', 14.66);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 34, 34, '2020-09-26 15:54:00', '2020-09-26 16:00:55', 9.35);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 35, 35, '2019-12-06 17:58:00', '2019-12-06 18:02:55', 8.14);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 36, 36, '2020-09-26 09:33:00', '2020-09-26 09:41:57', 8.73);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 37, 37, '2019-12-24 15:19:00', '2019-12-24 15:25:01', 2.51);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 38, 38, '2019-04-17 11:55:00', '2019-04-17 12:03:33', 8.36);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 39, 39, '2019-01-25 23:35:00', '2019-01-25 23:39:56', 6.59);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 40, 40, '2020-06-14 22:55:00', '2020-06-14 23:01:51', 15.11);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 41, 41, '2019-04-07 15:40:00', '2019-04-07 15:44:56', 10.5);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 42, 42, '2020-03-17 13:19:00', '2020-03-17 13:24:29', 11.9);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 43, 43, '2020-06-17 19:45:00', '2020-06-17 19:57:25', 8.08);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 44, 44, '2019-07-14 13:00:00', '2019-07-14 13:04:08', 3.91);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 45, 45, '2019-05-03 12:28:00', '2019-05-03 12:33:32', 10.11);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 46, 46, '2020-05-27 20:57:00', '2020-05-27 21:06:32', 6.7);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 47, 47, '2020-08-20 19:16:00', '2020-08-20 19:30:26', 10.1);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 48, 48, '2019-07-27 09:03:00', '2019-07-27 09:09:58', 13.78);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 49, 49, '2020-08-25 17:58:00', '2020-08-25 18:04:43', 9.65);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 50, 50, '2020-06-08 07:27:00', '2020-06-08 07:36:28', 6.58);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 51, 51, '2019-07-11 18:10:00', '2019-07-11 18:19:11', 9.52);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 52, 52, '2019-12-02 09:45:00', '2019-12-02 09:58:00', 9.25);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 53, 53, '2019-11-23 17:02:00', '2019-11-23 17:08:12', 14.86);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 54, 54, '2020-05-02 23:49:00', '2020-05-03 00:01:38', 5.31);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 55, 55, '2020-10-03 18:28:00', '2020-10-03 18:39:36', 11.29);
INSERT INTO public.rentals(rental_id, user_id, bike_id, rental_date, return_date, price) VALUES(DEFAULT, 56, 56, '2019-06-28 13:26:00', '2019-06-28 13:39:55', 2.96);
